db,type,statistic,p.value,padj
encodeTFBS,KDM4A,7781,1.5213070726152225e-39,8.154205909217593e-37
encodeTFBS,ZEB1,7736,1.9699460848564634e-39,1.0558911014830644e-36
knownGene_RNAs,snoRNA,7763,2.5021606855733253e-39,1.3411581274673025e-36
encodeTFBS,PHF8,8430,2.518066617560793e-39,1.3496837070125851e-36
Encode_Histone,H3K4me3,7691,2.553655029696603e-39,1.3687590959173792e-36
encodeTFBS,ZFP91,7777,2.8489638135778375e-39,1.527044604077721e-36
Transcript_Features,Intron,5542,4.187470632294081e-39,2.2444842589096272e-36
encodeTFBS,NCOA1,7757,4.6293219150618335e-39,2.481316546473143e-36
encodeTFBS,PML,7789,6.172533177248776e-39,3.308477783005344e-36
encodeTFBS,NFYB,7792,6.341127853714415e-39,3.398844529590927e-36
RBP_eCLiP,BUD13,7837.5,7.897202696332891e-39,4.2329006452344296e-36
encodeTFBS,CREM,8195,8.363681959964264e-39,4.4829335305408454e-36
encodeTFBS,RUNX3,7851,1.0763591487998044e-38,5.7692850375669515e-36
encodeTFBS,HNRNPL,8394,1.2914418242376317e-38,6.922128177913707e-36
encodeTFBS,E2F4,7872,1.298561000605335e-38,6.960286963244597e-36
RBP_ChIP,SRSF1,7877,1.352103432250189e-38,7.247274396861012e-36
encodeTFBS,AGO1,8409,1.4717382489836867e-38,7.888517014552561e-36
RBP_ChIP,HNRNPK,7889,1.4995369372980594e-38,8.037517983917599e-36
RBP_eCLiP,GTF2F1,7910,1.8089387879966495e-38,9.695911903662042e-36
encodeTFBS,CBFA2T3,8228,2.1569675201882116e-38,1.1561345908208814e-35
encodeTFBS,ASH2L,8084,2.2687613776140631e-38,1.2160560984011379e-35
encodeTFBS,SPI1,8417,3.032150892913713e-38,1.6252328786017503e-35
